type_transaction,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,4300000,mitsubishi pajero 2001,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Pajero,2001
Vente,7800000,kia optima 2016,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Optima,2016
Vente,6900000,mazda 3 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2017
Vente,7950000,renault duster 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Duster,2019
Vente,9500000,bmw serie 3 328i xdrive gt 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,Serie 3 328i xdrive gt,2017
Vente,15500000,land rover range rover sport 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Range rover,Rover range rover sport,2018
Vente,11800000,kia soul 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Soul,2019
Vente,13500000,mitsubishi montero 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Montero,2019
Vente,7500000,toyota corolla 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2017
Vente,11900000,hyundai santa fe 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2018
Vente,39000000,mercedes-benz gle 43 2018,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Mercedes,Benz,2018
Vente,2950000,hyundai i10  2014 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,I10,2014
Vente,3850000,mitsubishi outlander 2004 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Outlander,2004
Vente,17800000,bmw x3 xdrive  2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X3 xdrive,2018
Vente,5900000,mercedes-benz c 2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2012
Vente,11500000,mercedes-benz gl-class 2016,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Mercedes,Benz,2016
Vente,6000000,audi a6 2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Audi,A6,2012
Vente,8000000,kia sportage 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2015
