type_transaction,prix_location,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,0,3800000,peugeot 308 2014 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,308,2014
Vente,0,19500000,toyota land cruiser prado txl 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2017
Location,1749190,37000000,honda e np1 pure 2023,"Abidjan, Côte d'Ivoire",,Abidjan,Honda,E np1 pure,2023
Location,1133152,23500000,toyota rav4 xle 2023,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Rav4,2023
Vente,0,5850000,mazda tribute 2010 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2010
Location,1133152,23500000,hyundai tucson htrac n-line 2023,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Tucson htrac n-line,2023
Location,599253,11800000,peugeot 3008 2020,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,3008,2020
Vente,0,13200000,mitsubishi eclipse 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Eclipse,2019
Location,2114249,45000000,jeep wrangler sahara  2024,"Abidjan, Côte d'Ivoire",,Abidjan,Jeep,Wrangler sahara,2024
Location,690518,13800000,suzuki fronx 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Suzuki,Fronx,2024
Vente,0,29000000,mercedes benz glc 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2019
Vente,0,7900000,mazda 3 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Mazda,Mazda,2019
Vente,0,5500000,ford fiesta 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Fiesta,2014
Location,781783,15800000,ac haval h6 2023,"Abidjan, Côte d'Ivoire",,Abidjan,Haval,Haval h6,2023
Vente,0,14800000,toyota 4runner 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,4runner,2018
Location,722461,14500000,mitsubishi xpander cross 2024,"Marcory, Abidjan, Côte d'Ivoire",Marcory,Abidjan,Mitsubishi,Xpander cross,2024
Location,1511901,31800000,ford equator 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Ford,Equator,2024
Location,695081,13900000,hyundai tucson 2020 ,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Tucson,2020
Location,1657925,35000000,mitsubishi outlander 2023 ,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Mitsubishi,Outlander,2023
